year,Scotland population mid-year estimate,Great Britain population mid-year estimate,England population mid-year estimate,England and Wales population mid-year estimate,United Kingdom population mid-year estimate,Northern Ireland population mid-year estimate,Wales population mid-year estimate,source,source_url
2015,5350600.0,63232000.0,54808700.0,57881400.0,65087000,1854900.0,3072700.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2016,5373600.0,63739800.0,55289000.0,58366200.0,65605800,1866000.0,3077200.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2017,5388200.0,64089100.0,55619500.0,58700900.0,65964300,1875200.0,3081400.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2018,5392100.0,64400500.0,55924500.0,59008400.0,66286700,1886300.0,3083800.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2019,5411200.0,64729000.0,56230100.0,59317800.0,66627500,1898500.0,3087700.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2020,5408900.0,64839300.0,56326000.0,59430400.0,66739900,1900500.0,3104500.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2021,5412900.0,65073400.0,56554900.0,59660500.0,66978000,1904600.0,3105600.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2022,5447000.0,65725600.0,57144400.0,60278600.0,67636100,1910500.0,3134200.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2023,5506000.0,66605800.0,57932500.0,61099800.0,68526200,1920400.0,3167300.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2024,5546900.0,67353600.0,58620100.0,61806700.0,69281400,1927900.0,3186600.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2025,,,,,69487000,,,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
